11:26:53,tbl_sp_api_url add cache, count 211, elapsed 149ms
11:28:12,tbl_sp_api_url add cache, count 211, elapsed 957ms
11:32:56,tbl_trone add cache, count 1028, elapsed 527ms
11:38:58,tbl_sp_api_url add cache, count 211, elapsed 300ms
11:38:58,tbl_trone add cache, count 1028, elapsed 428ms
13:46:45,tbl_sp_api_url add cache, count 211, elapsed 5889ms
13:47:44,tbl_trone add cache, count 1028, elapsed 351ms
13:48:55,tbl_day_month_limit add cache, count 0, elapsed 67108ms
14:35:14,tbl_sp_api_url add cache, count 211, elapsed 45043ms
14:35:15,tbl_trone add cache, count 1028, elapsed 14419ms
14:44:43,tbl_sp_api_url add cache, count 1, elapsed 0ms
14:45:12,tbl_trone add cache, count 1028, elapsed 29179ms
14:45:52,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:46:22,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:47:34,tbl_sp_api_url add cache, count 1, elapsed 0ms
14:47:34,tbl_trone add cache, count 1028, elapsed 502ms
14:47:54,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:48:11,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:48:18,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:51:04,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:52:03,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:56:02,tbl_sp_api_url add cache, count 1, elapsed 0ms
14:56:02,tbl_trone add cache, count 1028, elapsed 315ms
14:59:23,tbl_day_month_limit add cache, count 1, elapsed 0ms
14:59:28,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:07:31,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:08:29,tbl_sp_api_url add cache, count 1, elapsed 0ms
15:08:29,tbl_trone add cache, count 1028, elapsed 442ms
15:09:14,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:09:41,tbl_day_month_limit remove cache, count 0, elapsed 0ms
15:10:27,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:11:36,tbl_day_month_limit remove cache, count 0, elapsed 0ms
15:11:36,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:13:15,tbl_sp_api_url add cache, count 1, elapsed 0ms
15:13:15,tbl_trone add cache, count 1028, elapsed 362ms
15:13:24,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:27:09,tbl_sp_api_url add cache, count 1, elapsed 0ms
15:27:13,tbl_trone add cache, count 1028, elapsed 3588ms
15:27:48,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:32:35,tbl_sp_api_url add cache, count 1, elapsed 0ms
15:32:36,tbl_trone add cache, count 1028, elapsed 1335ms
15:32:39,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:45:53,tbl_sp_api_url add cache, count 1, elapsed 0ms
15:45:57,tbl_trone add cache, count 1028, elapsed 420ms
15:46:03,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:50:44,tbl_day_month_limit remove cache, count 0, elapsed 0ms
15:52:03,tbl_day_month_limit add cache, count 1, elapsed 0ms
15:55:38,tbl_sp_api_url add cache, count 1, elapsed 0ms
15:55:39,tbl_trone add cache, count 1028, elapsed 405ms
15:56:57,tbl_day_month_limit add cache, count 1, elapsed 0ms
16:12:34,tbl_sp_api_url remove cache, count 0, elapsed 0ms
16:12:34,tbl_trone remove cache, count 0, elapsed 0ms
16:12:34,tbl_day_month_limit remove cache, count 0, elapsed 0ms
